phase_1_address,score,e911_address
21 sampson rd,1.0,21 SAMPSON RD
961 ridge rd,1.0,961 RIDGE RD
156 n orwell rd,1.0,156 N ORWELL RD
23 church st,1.0,23 CHURCH ST
46 church st,1.0,46 CHURCH St
48 church st,1.0,48 CHURCH St
310 middle rd,1.0,310 MIDDLE RD
273 andrus pitch,1.0,273 ANDRUS PITCH
282 leland rd,1.0,282 LELAND RD
1788 halladay rd,1.0,1788 HALLADAY RD
239 n orwell rd,1.0,239 N ORWELL RD
548 james rd,1.0,548 JAMES RD
118 murray rd,1.0,118 MURRAY RD
883 columbus smith rd,1.0,883 COLUMBUS SMITH RD
4 murray rd,1.0,4 MURRAY RD
213 main st,1.0,213 MAIN ST
1176 morgan rd,1.0,1176 MORGAN RD
859 morgan rd,1.0,859 MORGAN RD
422 delong ln,1.0,422 DELONG LN
2815 old jerusalem rd,1.0,2815 OLD JERUSALEM RD
385 main st,1.0,385 MAIN ST
215 ledge ln,1.0,215 LEDGE Ln
376 w salisbury rd,1.0,376 W SALISBURY RD
2296 morse rd,1.0,2296 MORSE RD
384 peet rd,1.0,384 PEET RD
73 hornbeam hill rd,1.0,73 HORNBEAM HILL RD
473 main st,1.0,473 MAIN ST
78 smith rd,1.0,78 SMITH RD
162 n orwell rd,1.0,162 N ORWELL RD
1293 shacksboro rd,1.0,1293 SHACKSBORO RD
375 palmer rd,1.0,375 PALMER RD
62 murray rd,1.0,62 MURRAY RD
231 bourdeau rd,1.0,231 BOURDEAU RD
1121 galvin rd,1.0,1121 GALVIN RD
185 audet rd,1.0,185 AUDET RD
528 morgan rd,1.0,528 MORGAN RD
464 main st,1.0,464 MAIN ST
441 main st,1.0,441 MAIN ST
461 main st,1.0,461 MAIN ST
138 delong ln,1.0,138 DELONG LN
727 fisher rd,1.0,727 FISHER RD
1887 old jerusalem rd,1.0,1887 OLD JERUSALEM RD
909 smith st,1.0,909 SMITH ST
2335 old jerusalem rd,1.0,2335 OLD JERUSALEM RD
308 main st,1.0,308 MAIN ST
862 w salisbury rd,1.0,862 W SALISBURY RD
724 parkhill rd,1.0,724 PARKHILL RD
406 s bingham st,1.0,406 S BINGHAM ST
1932 leland rd,1.0,1932 LELAND RD
52 lewis rd,1.0,52 LEWIS RD
771 webster rd,1.0,771 WEBSTER RD
83 inn rd,1.0,83 INN RD
190 lewis rd,1.0,190 LEWIS RD
564 cider mill rd,1.0,564 CIDER MILL RD
137 brown ln,1.0,137 BROWN Ln
177 stickney rd,1.0,177 STICKNEY RD
254 stickney rd,1.0,254 STICKNEY RD
175 stickney rd,1.0,175 STICKNEY RD
274 stickney rd,1.0,274 STICKNEY RD
1454 ridge rd,1.0,1454 RIDGE RD
21 oliver howe ct,1.0,21 OLIVER HOWE CT
657 n bingham st,1.0,657 N BINGHAM ST
139 needham hill rd,1.0,139 NEEDHAM HILL RD
195 needham hill rd,1.0,195 NEEDHAM HILL RD
1252 webster rd,1.0,1252 WEBSTER RD
270 duffany rd,1.0,270 DUFFANY RD
1402 leland rd,1.0,1402 LELAND RD
973 shard villa rd,1.0,973 SHARD VILLA RD
1207 halladay rd,1.0,1207 HALLADAY RD
2719 lake st,1.0,2719 LAKE ST
51 beauvais rd,1.0,51 BEAUVAIS RD
1468 smith st,1.0,1468 SMITH ST
430 w salisbury rd,1.0,430 W SALISBURY RD
375 douglas rd,1.0,375 DOUGLAS RD
525 columbus smith rd,1.0,525 COLUMBUS SMITH RD
258 buttolph rd,1.0,258 BUTTOLPH RD
2644 smith st,1.0,2644 SMITH ST
141 hemenway hill rd,1.0,141 HEMENWAY HILL RD
1715 dewey rd,1.0,1715 DEWEY RD
1710 sperry rd,1.0,1710 SPERRY RD
