phase_1_address,score,e911_address
1121 GALVIN RD,1.0,1121 GALVIN RD
185 AUDET RD,1.0,185 AUDET RD
528 MORGAN RD,1.0,528 MORGAN RD
464 MAIN ST,1.0,464 MAIN ST
441 MAIN ST,1.0,441 MAIN ST
461 MAIN ST,1.0,461 MAIN ST
138 DELONG LN,1.0,138 DELONG LN
727 FISHER RD,1.0,727 FISHER RD
1887 OLD JERUSALEM RD,1.0,1887 OLD JERUSALEM RD
909 SMITH ST,1.0,909 SMITH ST
2335 OLD JERUSALEM RD,1.0,2335 OLD JERUSALEM RD
308 MAIN ST,1.0,308 MAIN ST
862 W SALISBURY RD,1.0,862 W SALISBURY RD
724 PARKHILL RD,1.0,724 PARKHILL RD
406 S BINGHAM ST,1.0,406 S BINGHAM ST
1932 LELAND RD,1.0,1932 LELAND RD
52 LEWIS RD,1.0,52 LEWIS RD
771 WEBSTER RD,1.0,771 WEBSTER RD
83 INN RD,1.0,83 INN RD
190 LEWIS RD,1.0,190 LEWIS RD
564 CIDER MILL RD,1.0,564 CIDER MILL RD
137 BROWN LN,1.0,137 BROWN Ln
177 STICKNEY RD,1.0,177 STICKNEY RD
254 STICKNEY RD,1.0,254 STICKNEY RD
175 STICKNEY RD,1.0,175 STICKNEY RD
274 STICKNEY RD,1.0,274 STICKNEY RD
1454 RIDGE RD,1.0,1454 RIDGE RD
21 OLIVER HOWE CT,1.0,21 OLIVER HOWE CT
657 N BINGHAM ST,1.0,657 N BINGHAM ST
139 NEEDHAM HILL RD,1.0,139 NEEDHAM HILL RD
195 NEEDHAM HILL RD,1.0,195 NEEDHAM HILL RD
1252 WEBSTER RD,1.0,1252 WEBSTER RD
270 DUFFANY RD,1.0,270 DUFFANY RD
1402 LELAND RD,1.0,1402 LELAND RD
973 SHARD VILLA RD,1.0,973 SHARD VILLA RD
1207 HALLADAY RD,1.0,1207 HALLADAY RD
2719 LAKE ST,1.0,2719 LAKE ST
51 BEAUVAIS RD,1.0,51 BEAUVAIS RD
1468 SMITH ST,1.0,1468 SMITH ST
430 W SALISBURY RD,1.0,430 W SALISBURY RD
375 DOUGLAS RD,1.0,375 DOUGLAS RD
525 COLUMBUS SMITH RD,1.0,525 COLUMBUS SMITH RD
258 BUTTOLPH RD,1.0,258 BUTTOLPH RD
2644 SMITH ST,1.0,2644 SMITH ST
141 HEMENWAY HILL RD,1.0,141 HEMENWAY HILL RD
1715 DEWEY RD,1.0,1715 DEWEY RD
1710 SPERRY RD,1.0,1710 SPERRY RD
979 GALVIN RD,1.0,979 GALVIN RD
198 BARNES RD,1.0,198 BARNES RD
64 GIBEAULT RD,1.0,64 GIBEAULT RD
699 WITHERELL RD,1.0,699 WITHERELL RD
38 SCHOOL RD,1.0,38 SCHOOL RD
2155 S BINGHAM ST,1.0,2155 S BINGHAM ST
137 WOOSTER RD,1.0,137 WOOSTER RD
813 DELONG RD,1.0,813 DELONG RD
101 PAIGE RD,1.0,101 PAIGE RD
312 PEET RD,1.0,312 PEET RD
7 PEPPER LN,1.0,7 PEPPER Ln
1868 RICHVILLE RD,1.0,1868 RICHVILLE RD
1107 N BINGHAM ST,1.0,1107 N BINGHAM ST
1014 HALLADAY RD,1.0,1014 HALLADAY RD
1703 RIDGE RD,1.0,1703 RIDGE RD
1620 RIDGE RD,1.0,1620 RIDGE RD
1374 RIDGE RD,1.0,1374 RIDGE RD
364 BUTTOLPH RD,1.0,364 BUTTOLPH RD
507 PIDGEON RD W,1.0,507 PIDGEON RD W
563 PIDGEON RD W,1.0,563 PIDGEON RD W
438 PIDGEON RD W,1.0,438 PIDGEON RD W
648 PIDGEON RD W,1.0,648 PIDGEON RD W
195 LELAND RD,1.0,195 LELAND RD
44 SHARD VILLA RD,1.0,44 SHARD VILLA RD
615 SHARD VILLA RD,1.0,615 SHARD VILLA RD
1271 MIDDLE RD,1.0,1271 MIDDLE RD
433 PIDGEON RD W,1.0,433 PIDGEON RD W
351 GOODRICH RD,1.0,351 GOODRICH RD
258 OLD FOUNDRY RD,1.0,258 OLD FOUNDRY RD
2229 N CREAM HILL RD,1.0,2229 N CREAM HILL RD
1673 HEMENWAY HILL RD,1.0,1673 HEMENWAY HILL RD
15 DUFFANY RD,1.0,15 DUFFANY RD
1904 LELAND RD,1.0,1904 LELAND RD
872 N CREAM HILL RD,1.0,872 N CREAM HILL RD
947 N CREAM HILL RD,1.0,947 N CREAM HILL RD
167 DUFFANY RD,1.0,167 DUFFANY RD
886 QUIET VALLEY RD,1.0,886 QUIET VALLEY RD
1236 N BINGHAM ST,1.0,1236 N BINGHAM ST
315 RIGGS RD,1.0,315 RIGGS RD
39 LEMON FAIR RD,1.0,39 LEMON FAIR RD
1590 SPERRY RD,1.0,1590 SPERRY RD
3153 WATCH POINT RD,1.0,3153 WATCH POINT RD
2504 N BINGHAM ST,1.0,2504 N BINGHAM ST
1415 DELONG RD,1.0,1415 DELONG RD
95 WILDFLOWER LN,1.0,95 WILDFLOWER Ln
53 OLIVER HOWE CT,1.0,53 OLIVER HOWE CT
292 DELONG RD,1.0,292 DELONG RD
1078 DOOLITTLE RD,1.0,1078 DOOLITTLE RD
878 DOOLITTLE RD,1.0,878 DOOLITTLE RD
247 KERRFIELD DR,1.0,247 KERRFIELD DR
967 RICHVILLE RD,1.0,967 RICHVILLE RD
74 HANSON RD,1.0,74 HANSON RD
2733 BASIN HARBOR RD,1.0,2733 BASIN HARBOR RD
265 BARNES RD,1.0,265 BARNES RD
1209 CIDER MILL RD,1.0,1209 CIDER MILL RD
315 ANGEL RD,1.0,315 ANGEL RD
262 DUFFANY RD,1.0,262 DUFFANY RD
279 BARNES RD,1.0,279 BARNES RD
2196 LELAND RD,1.0,2196 LELAND RD
1426 SCHOOL ST,1.0,1426 SCHOOL ST
3905 RICHVILLE RD,1.0,3905 RICHVILLE RD
1102 SMITH ST,1.0,1102 SMITH ST
2190 LELAND RD,1.0,2190 LELAND RD
381 W SALISBURY RD,1.0,381 W SALISBURY RD
510 SPERRY RD,1.0,510 SPERRY RD
1400 SHARD VILLA RD,1.0,1400 SHARD VILLA RD
930 SHACKSBORO RD,1.0,930 SHACKSBORO RD
91 DOOLITTLE RD,1.0,91 DOOLITTLE RD
988 BASIN HARBOR RD,1.0,988 BASIN HARBOR RD
532 SHACKSBORO RD,1.0,532 SHACKSBORO RD
309 DOOLITTLE RD,1.0,309 DOOLITTLE RD
2255 BARNUM HILL RD,1.0,2255 BARNUM HILL RD
13 BEAUVAIS RD,1.0,13 BEAUVAIS RD
299 STICKNEY RD,1.0,299 STICKNEY RD
225 AUDET RD,1.0,225 AUDET RD
387 S BINGHAM ST,1.0,387 S BINGHAM ST
35 EDGEWOOD LN,1.0,35 EDGEWOOD Ln
496 COLUMBUS SMITH RD,1.0,496 COLUMBUS SMITH RD
125 N BINGHAM ST,1.0,125 N BINGHAM ST
262 DELONG LN,1.0,262 DELONG LN
140 ROYCE HILL RD,1.0,140 ROYCE HILL RD
332 LAPHAM BAY RD,1.0,332 LAPHAM BAY RD
869 WATCH POINT RD,1.0,869 WATCH POINT RD
1011 GALVIN RD,1.0,1011 GALVIN RD
1571 SPERRY RD,1.0,1571 SPERRY RD
1287 N BINGHAM ST,1.0,1287 N BINGHAM ST
1335 N BINGHAM ST,1.0,1335 N BINGHAM ST
889 N ORWELL RD,1.0,889 N ORWELL RD
323 N BINGHAM ST,1.0,323 N BINGHAM ST
226 HOLMES LN,1.0,226 HOLMES LN
744 MORGAN RD,1.0,744 MORGAN RD
321 N BINGHAM ST,1.0,321 N BINGHAM ST
188 JAMES RD,1.0,188 JAMES RD
187 BARNES RD,1.0,187 BARNES RD
351 S BINGHAM ST,1.0,351 S BINGHAM ST
998 N CREAM HILL RD,1.0,998 N CREAM HILL RD
1552 HALLADAY RD,1.0,1552 HALLADAY RD
669 BUTTOLPH RD,1.0,669 BUTTOLPH RD
738 BROWN RD,1.0,738 BROWN RD
901 N BINGHAM ST,1.0,901 N BINGHAM ST
358 SWAMP RD,1.0,358 SWAMP RD
659 THREE MILE BRIDGE RD,1.0,659 THREE MILE BRIDGE RD
148 NEEDHAM HILL RD,1.0,148 NEEDHAM HILL RD
916 SHARD VILLA RD,1.0,916 SHARD VILLA RD
10 HIBBARD HILL RD,0.6666666666666666,10 HIBBARD HILL
20 CHURCH ST,1.0,20 CHURCH St
273 LELAND RD,1.0,273 LELAND RD
475 ELMENDORF RD,1.0,475 ELMENDORF RD
655 COLUMBUS SMITH RD,1.0,655 COLUMBUS SMITH RD
1301 CIDER MILL RD,1.0,1301 CIDER MILL RD
1148 CIDER MILL RD,1.0,1148 CIDER MILL RD
44 OLIVER HOWE CT,1.0,44 OLIVER HOWE CT
1447 W SALISBURY RD,1.0,1447 W SALISBURY RD
201 FISHER RD,1.0,201 FISHER RD
1 COOK RD,1.0,1 COOK RD
985 THREE MILE BRIDGE RD,1.0,985 THREE MILE BRIDGE RD
475 DOOLITTLE RD,1.0,475 DOOLITTLE RD
695 DOOLITTLE RD,1.0,695 DOOLITTLE RD
24 MUTTON SQUARE RD,1.0,24 MUTTON SQUARE RD
199 MAIN ST,1.0,199 MAIN ST
277 TOTTINGHAM RD,1.0,277 TOTTINGHAM RD
469 FOOTE FARM RD,1.0,469 FOOTE FARM RD
30 SHOREHAM DEPOT RD,1.0,30 SHOREHAM DEPOT RD
138 ELMENDORF RD,1.0,138 ELMENDORF RD
2298 N BINGHAM ST,1.0,2298 N BINGHAM ST
1523 RICHVILLE RD,1.0,1523 RICHVILLE RD
535 SPERRY RD,1.0,535 SPERRY RD
68 PHILION RD,1.0,68 PHILION RD
158 NEEDHAM HILL RD,1.0,158 NEEDHAM HILL RD
19 FISHER RD,1.0,19 FISHER RD
280 MAIN ST,1.0,280 MAIN ST
1813 HALLADAY RD,1.0,1813 HALLADAY RD
